,Talabre,Pampa Austral,Potrerillos II,Ovejeria,Caren
1,1290706.583654993,332753.0034422384,0.0007288384482535548,94390.57414497665,445421.0427255763
2,1286219.8642875245,332187.0686844768,0.0,72247.6398646691,445428.44272557634
3,1286225.1642875245,331621.23392671515,14.199614100414825,72263.7398646691,445435.74272557633
4,1286230.5688931148,331055.59916895354,28.59917591737606,72280.13056395782,445443.42715115263
5,1286236.168893115,330489.86441119196,43.09917591737606,72296.83056395782,445450.5271511526
6,1286241.268893115,329924.22965343035,57.5991077739312,72313.33056395782,445458.2271511526
7,1286246.5734987052,329952.8964387414,72.19906271516152,72329.52126324654,445465.4115767289
8,1286252.0734987052,329981.1964387414,86.59906271516152,72345.92126324654,445473.11157672893
9,1286257.1734987053,330009.6964387414,101.29906271516154,72362.22126324654,445480.7115767289
10,1286262.3781042956,330037.76322405244,115.49901765639186,72378.31196253526,445488.0960023052
11,1286267.7781042955,330065.76322405244,129.79901765639187,72394.41196253526,445495.49600230524
12,1286273.0781042955,330093.8632240524,143.99901765639186,72410.51196253527,445502.79600230523
